Day,Price,Signal,Cash,Shares,PortfolioValue
350,5353.95,-1,80331.20013495475,0.0,80331.20013495475
351,5266.5,-1,80331.20013495475,0.0,80331.20013495475
352,5274.95,1,-16.067043338975054,15.227285305309813,80307.10157790502
353,5233.65,-1,79654.30800415992,0.0,79654.30800415992
354,5225.05,-1,79654.30800415992,0.0,79654.30800415992
355,5201.3,1,-15.931658143919776,15.312776453218833,79630.4125079832
356,5120.15,1,-15.931658143919776,15.312776453218833,78387.78069880448
357,5078.75,1,-15.931658143919776,15.312776453218833,77753.83175364122
358,4999.6,1,-15.931658143919776,15.312776453218833,76541.82549736896
359,4985.05,1,-15.931658143919776,15.312776453218833,76319.02459997463
360,5036.7,-1,77086.79328795201,0.0,77086.79328795201
361,5132.95,-1,77086.79328795201,0.0,77086.79328795201
362,5112.6,-1,77086.79328795201,0.0,77086.79328795201
363,5020.15,-1,77086.79328795201,0.0,77086.79328795201
364,4970.75,1,-15.418129525511176,15.506530433043464,77063.66802052529
365,5086.25,-1,78831.01283581909,0.0,78831.01283581909
366,5076.1,-1,78831.01283581909,0.0,78831.01283581909
367,5005.6,1,-15.766990877280477,15.746989633778266,78807.36431996322
368,4915.15,1,-15.766990877280477,15.746989633778266,77383.04910758795
369,4807.3,1,-15.766990877280477,15.746989633778266,75684.73627558498
370,4945.3,-1,77834.46032616736,0.0,77834.46032616736
371,4944.3,1,-15.567670409829589,15.740686939812042,77811.11076610285
372,4946.7,-1,77825.53063522196,0.0,77825.53063522196
373,4924.3,-1,77825.53063522196,0.0,77825.53063522196
374,5065.1,-1,77825.53063522196,0.0,77825.53063522196
375,5059.55,1,-15.565884382347576,15.380369724255676,77802.18375397546
376,5093.9,1,-15.565884382347576,15.380369724255676,78330.49945400363
377,5180.55,-1,79639.30645187339,0.0,79639.30645187339
378,5157.55,-1,79639.30645187339,0.0,79639.30645187339
379,5133.75,1,-15.928657683441998,15.51134046529259,79615.4154560124
380,5189.75,-1,80459.90213831444,0.0,80459.90213831444
381,5026.6,-1,80459.90213831444,0.0,80459.90213831444
382,5072.3,-1,80459.90213831444,0.0,80459.90213831444
383,5124.4,-1,80459.90213831444,0.0,80459.90213831444
384,5148.35,-1,80459.90213831444,0.0,80459.90213831444
385,5223.9,1,-16.09278502667439,15.400726996492443,80435.7649719502
386,5278.4,-1,81250.7188598695,0.0,81250.7188598695
387,5254.2,1,-16.250956279152888,15.462410150483986,81226.34445639381
388,5215.25,1,-16.250956279152888,15.462410150483986,80624.08358103246
389,5308.2,-1,82036.69297640302,0.0,82036.69297640302
390,5322.1,1,-16.40815896220738,15.412805273766212,82012.08278854896
391,5299.35,1,-16.40815896220738,15.412805273766212,81661.44146857077
392,5269.65,1,-16.40815896220738,15.412805273766212,81203.6811519399
393,5248.6,-1,80854.97452391217,0.0,80854.97452391217
394,5230.3,-1,80854.97452391217,0.0,80854.97452391217
395,5208.3,-1,80854.97452391217,0.0,80854.97452391217
396,5279.05,-1,80854.97452391217,0.0,80854.97452391217
397,5273.4,-1,80854.97452391217,0.0,80854.97452391217
398,5323.3,1,-16.17180345451925,15.18736322266938,80830.71883978139
399,5340.85,-1,81072.92465794749,0.0,81072.92465794749
400,5354.15,-1,81072.92465794749,0.0,81072.92465794749
401,5302.4,-1,81072.92465794749,0.0,81072.92465794749
402,5376.3,1,-16.215395660838112,15.078179972586344,81048.60359095513
403,5365.7,1,-16.215395660838112,15.078179972586344,80888.7748832457
404,5369.65,1,-16.215395660838112,15.078179972586344,80948.33369413741
405,5291.4,-1,79744.5323025241,0.0,79744.5323025241
406,5249.2,-1,79744.5323025241,0.0,79744.5323025241
407,5260.4,1,-15.949703905818751,15.15788902818523,79720.60973995975
408,5302.95,-1,80341.46506745298,0.0,80341.46506745298
409,5283.9,-1,80341.46506745298,0.0,80341.46506745298
410,5260.55,-1,80341.46506745298,0.0,80341.46506745298
411,5225.3,-1,80341.46506745298,0.0,80341.46506745298
412,5205.85,1,-16.069096428138437,15.431376725694026,80317.36343102611
413,5260.95,-1,81143.27880187034,0.0,81143.27880187034
414,5246.8,-1,81143.27880187034,0.0,81143.27880187034
415,5232.55,-1,81143.27880187034,0.0,81143.27880187034
416,5198.45,-1,81143.27880187034,0.0,81143.27880187034
417,5128.95,1,-16.229467193159508,15.819059670406464,81118.93662933807
418,5134.45,1,-16.229467193159508,15.819059670406464,81205.9414575253
419,5131.8,1,-16.229467193159508,15.819059670406464,81164.02094939873
420,5116.35,1,-16.229467193159508,15.819059670406464,80919.61647749096
421,5101.6,-1,80662.0762069584,0.0,80662.0762069584
422,5121.05,-1,80662.0762069584,0.0,80662.0762069584
423,5092.15,1,-16.133221862153732,15.838891551163389,80637.87839039449
424,5080.55,1,-16.133221862153732,15.838891551163389,80454.147248401
425,5096.95,-1,80689.68767295334,0.0,80689.68767295334
426,5015.8,1,-16.13874443146051,16.085493902798575,80665.48157322564
427,4935.6,1,-16.13874443146051,16.085493902798575,79375.4249622212
428,4858.5,1,-16.13874443146051,16.085493902798575,78135.23338231542
429,4859.0,1,-16.13874443146051,16.085493902798575,78143.27612926681
430,4869.55,1,-16.13874443146051,16.085493902798575,78312.97808994135
431,4856.6,1,-16.13874443146051,16.085493902798575,78104.6709439001
432,4849.35,1,-16.13874443146051,16.085493902798575,77988.05111310481
433,4887.3,-1,78574.91278870335,0.0,78574.91278870335
434,4915.1,-1,78574.91278870335,0.0,78574.91278870335
435,4858.65,-1,78574.91278870335,0.0,78574.91278870335
436,4801.8,1,-15.715768306879909,16.362001097215316,78551.34110030162
